vga_db,fundamental_dbm,shoulder_lo_dbc,shoulder_hi_dbc,h2_dbc,h3_dbc
0.000000000000000000e+00,-5.859375000000000000e+01,-4.249994999999999834e+01,-4.299994999999999834e+01,-3.575000000000000000e+01,-3.493750000000000000e+01
8.000000000000000000e+00,-5.109375000000000000e+01,-4.750000000000000000e+01,-4.899994999999999834e+01,-4.225000000000000000e+01,-4.243750000000000000e+01
1.600000000000000000e+01,-4.159375000000000000e+01,-5.100000000000000000e+01,-4.750000000000000000e+01,-4.975000000000000000e+01,-5.243750000000000000e+01
2.400000000000000000e+01,-3.059375000000000000e+01,-4.200000000000000000e+01,-4.150000000000000000e+01,-5.625000000000000000e+01,-6.246875000000000000e+01
3.200000000000000000e+01,-2.409375000000000000e+01,-3.900000000000000000e+01,-3.750000000000000000e+01,-5.125000000000000000e+01,-6.546875000000000000e+01
4.000000000000000000e+01,-1.259375000000000000e+01,-3.550000000000000000e+01,-2.700000000000000000e+01,-4.775000000000000000e+01,-6.443750000000000000e+01
4.700000000000000000e+01,-7.093750000000000000e+00,-2.200000000000000000e+01,-2.500000000000000000e+01,-3.825000000000000000e+01,-4.693750000000000000e+01
