freq_hz,dbm_tx_on,dbm_tx_off
1.504529616724738665e+07,-9.562500000000000000e+01,-9.912500000000000000e+01
1.514634146341463551e+07,-9.412500000000000000e+01,-9.612500000000000000e+01
1.524738675958188251e+07,-9.862500000000000000e+01,-9.912500000000000000e+01
1.534843205574912950e+07,-9.712500000000000000e+01,-9.812500000000000000e+01
1.544947735191637650e+07,-9.712500000000000000e+01,-9.912500000000000000e+01
1.555052264808362350e+07,-9.712500000000000000e+01,-9.515625000000000000e+01
1.565156794425087236e+07,-9.762500000000000000e+01,-9.865625000000000000e+01
1.575261324041811936e+07,-9.715625000000000000e+01,-1.011561999999999983e+02
1.585365853658536635e+07,-9.565625000000000000e+01,-9.865625000000000000e+01
1.595470383275261335e+07,-9.715625000000000000e+01,-9.915625000000000000e+01
1.605574912891986035e+07,-9.915625000000000000e+01,-9.915625000000000000e+01
1.615679442508710921e+07,-9.715625000000000000e+01,-9.865625000000000000e+01
1.625783972125435621e+07,-9.815625000000000000e+01,-9.765625000000000000e+01
1.635888501742160320e+07,-9.715625000000000000e+01,-1.026561999999999983e+02
1.645993031358885020e+07,-9.715625000000000000e+01,-9.668750000000000000e+01
1.656097560975609720e+07,-1.001561999999999983e+02,-1.001875000000000000e+02
1.666202090592334606e+07,-9.718750000000000000e+01,-9.668750000000000000e+01
1.676306620209059305e+07,-9.918750000000000000e+01,-1.001875000000000000e+02
1.686411149825783819e+07,-9.518750000000000000e+01,-9.918750000000000000e+01
1.696515679442508519e+07,-9.618750000000000000e+01,-9.668750000000000000e+01
1.706620209059233591e+07,-9.768750000000000000e+01,-9.768750000000000000e+01
1.716724738675958291e+07,-1.006875000000000000e+02,-1.031875000000000000e+02
1.726829268292682990e+07,-9.918750000000000000e+01,-9.768750000000000000e+01
1.736933797909407690e+07,-9.768750000000000000e+01,-1.007186999999999983e+02
1.747038327526132390e+07,-9.771875000000000000e+01,-9.671875000000000000e+01
1.757142857142857462e+07,-1.002186999999999983e+02,-1.002186999999999983e+02
1.767247386759582162e+07,-9.921875000000000000e+01,-1.032186999999999983e+02
1.777351916376306862e+07,-9.521875000000000000e+01,-1.022186999999999983e+02
1.787456445993031561e+07,-9.921875000000000000e+01,-9.721875000000000000e+01
1.797560975609756261e+07,-1.002186999999999983e+02,-1.017186999999999983e+02
1.807665505226480961e+07,-1.002186999999999983e+02,-1.002186999999999983e+02
1.817770034843205661e+07,-9.821875000000000000e+01,-9.921875000000000000e+01
1.827874564459930360e+07,-9.621875000000000000e+01,-9.825000000000000000e+01
1.837979094076655060e+07,-1.012186999999999983e+02,-1.007498999999999967e+02
1.848083623693379760e+07,-9.875000000000000000e+01,-9.675000000000000000e+01
1.858188153310104460e+07,-9.825000000000000000e+01,-9.975000000000000000e+01
1.868292682926829159e+07,-9.575000000000000000e+01,-9.975000000000000000e+01
1.878397212543554232e+07,-9.925000000000000000e+01,-9.825000000000000000e+01
1.888501742160278931e+07,-9.875000000000000000e+01,-9.975000000000000000e+01
1.898606271777003631e+07,-9.975000000000000000e+01,-1.022500000000000000e+02
1.908710801393728331e+07,-1.007498999999999967e+02,-1.007811999999999983e+02
1.918815331010453030e+07,-9.778125000000000000e+01,-9.928125000000000000e+01
1.928919860627177730e+07,-1.007811999999999983e+02,-1.002811999999999983e+02
1.939024390243902430e+07,-9.978125000000000000e+01,-9.978125000000000000e+01
