freq_hz,dbm_tx_on,dbm_tx_off
6.947266000000000000e+06,-8.262500000000000000e+01,-1.121561999999999983e+02
6.947509000000000000e+06,-8.062500000000000000e+01,-1.061561999999999983e+02
6.947751000000000000e+06,-7.915625000000000000e+01,-1.091561999999999983e+02
6.947993000000000000e+06,-7.862500000000000000e+01,-1.061561999999999983e+02
6.948235000000000000e+06,-7.662500000000000000e+01,-1.091561999999999983e+02
6.948478000000000000e+06,-7.612500000000000000e+01,-1.036561999999999983e+02
6.948720000000000000e+06,-7.515625000000000000e+01,-1.096561999999999983e+02
6.948962000000000000e+06,-7.412500000000000000e+01,-1.096561999999999983e+02
6.949204000000000000e+06,-7.462500000000000000e+01,-1.066561999999999983e+02
6.949446000000000000e+06,-7.365625000000000000e+01,-1.091561999999999983e+02
6.949689000000000000e+06,-7.462500000000000000e+01,-1.076561999999999983e+02
6.949931000000000000e+06,-7.312500000000000000e+01,-1.091561999999999983e+02
6.950173000000000000e+06,-7.362500000000000000e+01,-1.016561999999999983e+02
6.950415000000000000e+06,-7.365625000000000000e+01,-1.081561999999999983e+02
6.950657000000000000e+06,-7.412500000000000000e+01,-1.086561999999999983e+02
6.950900000000000000e+06,-7.412500000000000000e+01,-1.091561999999999983e+02
6.951142000000000000e+06,-7.512500000000000000e+01,-1.051561999999999983e+02
6.951384000000000000e+06,-7.565625000000000000e+01,-1.116561999999999983e+02
6.951626000000000000e+06,-7.712500000000000000e+01,-1.096561999999999983e+02
6.951869000000000000e+06,-7.612500000000000000e+01,-1.106561999999999983e+02
6.952111000000000000e+06,-7.815625000000000000e+01,-1.066561999999999983e+02
6.952353000000000000e+06,-8.062500000000000000e+01,-1.081561999999999983e+02
6.952595000000000000e+06,-8.112500000000000000e+01,-1.111561999999999983e+02
6.952837000000000000e+06,-8.265625000000000000e+01,-1.116561999999999983e+02
6.953080000000000000e+06,-8.462500000000000000e+01,-1.041561999999999983e+02
6.953322000000000000e+06,-8.612500000000000000e+01,-1.151561999999999983e+02
6.953564000000000000e+06,-8.812500000000000000e+01,-1.116561999999999983e+02
6.953806000000000000e+06,-8.812500000000000000e+01,-1.091561999999999983e+02
6.954048000000000000e+06,-9.112500000000000000e+01,-1.126561999999999983e+02
6.954291000000000000e+06,-8.962500000000000000e+01,-1.136561999999999983e+02
6.954533000000000000e+06,-9.012500000000000000e+01,-1.041561999999999983e+02
6.954775000000000000e+06,-9.112500000000000000e+01,-1.096561999999999983e+02
6.955017000000000000e+06,-9.262500000000000000e+01,-1.066561999999999983e+02
6.955260000000000000e+06,-9.215625000000000000e+01,-1.136561999999999983e+02
6.955502000000000000e+06,-9.262500000000000000e+01,-1.051561999999999983e+02
6.955744000000000000e+06,-9.362500000000000000e+01,-1.131561999999999983e+02
6.955986000000000000e+06,-8.712500000000000000e+01,-1.116561999999999983e+02
6.956228000000000000e+06,-8.712500000000000000e+01,-1.081561999999999983e+02
6.956471000000000000e+06,-8.612500000000000000e+01,-1.051561999999999983e+02
6.956713000000000000e+06,-9.115625000000000000e+01,-1.081561999999999983e+02
6.956955000000000000e+06,-9.412500000000000000e+01,-1.096561999999999983e+02
6.957197000000000000e+06,-8.812500000000000000e+01,-1.031561999999999983e+02
6.957439000000000000e+06,-9.012500000000000000e+01,-1.061561999999999983e+02
6.957682000000000000e+06,-9.112500000000000000e+01,-1.081561999999999983e+02
6.957924000000000000e+06,-8.712500000000000000e+01,-1.106561999999999983e+02
6.958166000000000000e+06,-9.015625000000000000e+01,-1.096561999999999983e+02
6.958408000000000000e+06,-8.815625000000000000e+01,-1.126561999999999983e+02
6.958651000000000000e+06,-9.062500000000000000e+01,-1.026561999999999983e+02
6.958893000000000000e+06,-8.765625000000000000e+01,-1.046561999999999983e+02
6.959135000000000000e+06,-9.262500000000000000e+01,-1.036561999999999983e+02
6.959377000000000000e+06,-8.812500000000000000e+01,-1.011561999999999983e+02
6.959619000000000000e+06,-8.912500000000000000e+01,-1.031561999999999983e+02
6.959862000000000000e+06,-9.515625000000000000e+01,-1.011561999999999983e+02
6.960104000000000000e+06,-9.412500000000000000e+01,-1.066561999999999983e+02
6.960346000000000000e+06,-8.965625000000000000e+01,-9.915625000000000000e+01
6.960588000000000000e+06,-9.465625000000000000e+01,-1.071561999999999983e+02
6.960830000000000000e+06,-9.262500000000000000e+01,-1.041561999999999983e+02
6.961073000000000000e+06,-9.562500000000000000e+01,-1.101561999999999983e+02
6.961315000000000000e+06,-9.065625000000000000e+01,-1.041561999999999983e+02
6.961557000000000000e+06,-9.162500000000000000e+01,-1.026561999999999983e+02
6.961799000000000000e+06,-8.962500000000000000e+01,-1.046561999999999983e+02
6.962042000000000000e+06,-9.215625000000000000e+01,-1.076561999999999983e+02
6.962284000000000000e+06,-9.162500000000000000e+01,-1.036561999999999983e+02
6.962526000000000000e+06,-8.865625000000000000e+01,-1.061561999999999983e+02
6.962768000000000000e+06,-9.315625000000000000e+01,-1.061561999999999983e+02
6.963010000000000000e+06,-9.012500000000000000e+01,-1.116561999999999983e+02
6.963253000000000000e+06,-9.115625000000000000e+01,-1.091561999999999983e+02
6.963495000000000000e+06,-8.765625000000000000e+01,-1.146561999999999983e+02
6.963737000000000000e+06,-9.862500000000000000e+01,-1.116561999999999983e+02
