vga_db,tone_hz,audio_amp,snr_db,noise_on,noise_off
3.000000000000000000e+01,1.466884346839643968e+03,2.319292102684034035e+03,3.097919076553076678e+01,5.631937199138886452e+09,4.988526371639939308e+09
2.600000000000000000e+01,1.466878132134522502e+03,1.459337500688830460e+03,3.117415426098801845e+01,2.131876492938792706e+09,2.222485228078790665e+09
2.200000000000000000e+01,1.466879150542560183e+03,9.287960698624084444e+02,3.071676270897530969e+01,9.594678982930233479e+08,1.021328283480029583e+09
1.800000000000000000e+01,1.466880001516834000e+03,5.802692176318676047e+02,3.040384160320308027e+01,4.024768324067386389e+08,4.125723280534129739e+08
1.400000000000000000e+01,1.466878708224508955e+03,3.657054829900229720e+02,2.937259998442135611e+01,2.027070841596632600e+08,2.136440030498658419e+08
